Student_ID,Study_Hours,Attendance,Previous_Marks,Assignments,Internal_Marks,Income_Group,Parent_Education,Final_Result
STU001,4.2,68.1,76.4,73.2,65.6,Low,Postgraduate,Fail
STU002,3.3,71.3,51.2,62.5,58.4,High,School,Pass
STU003,4.4,87.0,78.0,68.4,65.6,Middle,School,Pass
STU004,5.6,85.3,85.3,85.9,71.1,Low,School,Pass
STU005,3.2,77.7,71.2,70.7,64.6,Low,Graduate,Pass
STU006,3.2,79.4,93.2,68.7,64.5,Middle,School,Pass
STU007,5.7,93.3,53.4,49.0,54.9,Middle,Graduate,Pass
STU008,4.6,70.9,46.3,78.4,55.4,Middle,Postgraduate,Pass
STU009,2.8,84.6,38.3,77.0,45.8,Middle,Postgraduate,Pass
STU010,4.3,75.6,87.4,98.3,86.7,Middle,Graduate,Pass
STU011,2.9,75.4,74.8,63.7,47.8,Middle,School,Fail
STU012,2.8,91.2,64.2,71.1,55.0,Low,Graduate,Fail
STU013,3.8,87.9,69.2,71.5,54.7,Middle,Graduate,Pass
STU014,0.8,87.8,48.1,90.1,75.6,Middle,School,Fail
STU015,1.1,93.7,98.0,66.7,60.2,Low,School,Fail
STU016,2.7,78.3,66.9,71.9,80.2,Low,Postgraduate,Pass
STU017,2.1,86.2,66.6,76.5,55.2,Middle,Graduate,Fail
STU018,3.9,,75.9,70.6,67.6,Middle,Graduate,Pass
STU019,2.2,81.9,72.2,61.7,53.1,High,Postgraduate,Pass
STU020,1.5,76.4,68.4,70.7,91.9,High,Graduate,Pass
STU021,5.6,79.2,53.1,83.0,48.6,Middle,Graduate,Pass
STU022,3.2,85.1,72.1,53.6,68.0,Middle,School,Pass
STU023,3.6,68.2,93.2,69.9,72.2,Middle,School,Fail
STU024,1.5,100.0,85.2,58.2,69.4,Middle,School,Fail
STU025,2.7,65.9,88.9,84.7,61.6,Low,Graduate,Fail
STU026,3.7,63.4,57.3,46.7,62.3,Middle,Graduate,Fail
STU027,1.9,91.9,50.2,60.2,64.6,High,Postgraduate,Pass
STU028,4.0,87.5,63.1,73.3,62.1,Middle,School,Pass
STU029,2.7,85.5,65.8,89.9,76.5,Middle,Graduate,Pass
STU030,3.1,85.5,81.4,67.1,92.7,Middle,Graduate,Fail
STU031,2.7,77.9,39.6,,56.8,Low,Graduate,Fail
STU032,6.1,67.2,87.9,94.3,46.2,Middle,Graduate,Fail
STU033,3.5,78.9,62.6,47.7,62.9,Middle,School,Fail
STU034,2.0,69.9,58.6,37.2,97.5,Low,Graduate,Fail
STU035,4.7,89.7,49.8,74.2,53.6,Low,School,Pass
STU036,1.8,76.2,40.2,61.0,85.3,High,School,Fail
STU037,3.8,68.1,77.3,,85.8,Low,Graduate,Fail
STU038,0.8,74.1,66.1,77.9,56.8,Middle,Graduate,Pass
STU039,1.6,83.0,45.7,71.4,71.4,Low,Postgraduate,Pass
STU040,3.8,71.2,45.6,,85.2,High,Graduate,Pass
STU041,4.5,68.1,60.0,50.1,59.1,Low,Graduate,Fail
STU042,3.7,80.9,90.0,80.2,61.4,Middle,Graduate,Pass
STU043,3.3,80.9,61.1,77.1,56.4,High,Graduate,Pass
STU044,3.1,71.9,42.5,66.6,50.8,High,School,Fail
STU045,1.4,72.3,61.3,93.9,55.6,Low,School,Fail
STU046,2.5,80.8,60.9,53.0,48.1,High,School,Pass
STU047,2.9,60.6,25.0,46.6,64.4,Middle,Graduate,Pass
STU048,5.0,61.1,64.2,58.3,54.0,Middle,School,Pass
STU049,4.0,69.4,61.5,67.4,67.0,Low,School,Fail
STU050,1.0,75.4,75.4,71.4,43.8,Low,School,Fail
STU051,4.0,81.7,92.7,64.6,68.3,Middle,Postgraduate,Pass
STU052,3.0,95.7,81.9,72.9,74.8,Middle,School,Fail
STU053,2.6,88.3,61.0,50.5,38.1,Middle,Graduate,Fail
STU054,4.4,76.1,48.4,88.2,68.9,Middle,School,Fail
STU055,4.9,77.8,98.0,66.8,80.0,Middle,Graduate,Pass
STU056,4.8,66.0,65.9,,48.3,Low,School,Fail
STU057,2.3,77.8,65.2,72.8,85.7,Middle,School,Fail
STU058,3.1,74.5,64.6,74.4,69.4,Low,Graduate,Pass
STU059,4.0,81.9,68.0,76.0,54.8,Middle,School,Pass
STU060,4.9,68.1,62.8,74.3,63.3,Middle,School,Pass
STU061,2.8,84.2,56.4,77.0,71.3,High,School,Pass
STU062,3.2,96.4,56.8,86.6,65.0,Low,School,Pass
STU063,2.0,76.7,64.5,70.8,71.0,Low,School,Pass
STU064,1.8,82.8,56.8,77.9,52.0,Low,School,Fail
STU065,4.6,86.3,54.3,66.7,66.2,Low,Graduate,Fail
STU066,5.4,73.2,66.6,88.2,45.6,Low,Graduate,Fail
STU067,3.4,80.7,61.2,58.5,62.6,High,Graduate,Fail
STU068,4.9,78.2,87.6,93.2,52.2,Low,School,Fail
STU069,4.0,79.2,25.2,67.4,54.4,Low,Postgraduate,Fail
STU070,2.6,68.7,81.4,48.0,80.1,Middle,School,Pass
STU071,4.0,78.3,83.7,69.8,78.2,Middle,School,Pass
STU072,5.7,84.0,33.9,58.5,71.9,Middle,Graduate,Pass
STU073,3.4,95.4,59.9,79.8,49.8,Low,School,Pass
STU074,5.7,89.5,59.4,58.9,59.9,Middle,School,Pass
STU075,0.5,100.0,43.9,61.8,79.8,Low,Graduate,Pass
STU076,4.7,68.8,53.3,41.5,65.8,Low,Postgraduate,Fail
STU077,3.6,88.5,48.3,61.7,94.2,High,Graduate,Pass
STU078,3.1,80.2,91.3,34.1,69.1,Low,Graduate,Fail
STU079,3.6,100.0,79.0,45.8,66.5,Middle,Postgraduate,Fail
STU080,0.7,68.3,84.1,78.6,60.0,Middle,School,Fail
STU081,3.2,67.9,75.8,79.0,65.7,Middle,School,Pass
STU082,4.0,70.8,48.1,74.0,62.0,High,School,Pass
STU083,5.6,52.5,57.1,54.5,73.2,Low,School,Pass
STU084,2.8,71.7,72.3,67.3,76.4,Middle,School,Pass
STU085,2.4,68.9,46.7,67.9,53.8,High,Postgraduate,Pass
STU086,2.8,79.8,75.7,51.8,46.7,Middle,Graduate,Pass
STU087,4.8,82.1,61.4,89.0,40.1,High,Graduate,Pass
STU088,4.0,100.0,59.4,80.3,70.6,Low,School,Pass
STU089,2.8,89.4,75.7,64.9,49.7,Middle,Graduate,Pass
STU090,4.2,71.1,71.7,68.4,36.0,Low,Postgraduate,Pass
STU091,3.6,67.2,59.6,70.9,69.1,Middle,Graduate,Pass
STU092,4.9,83.9,82.4,39.4,96.4,High,School,Pass
STU093,2.5,62.2,48.8,64.5,63.9,Low,Graduate,Fail
STU094,3.0,100.0,74.2,58.5,74.9,Middle,School,Pass
STU095,3.0,92.2,73.9,54.0,65.1,Low,School,Fail
STU096,1.5,72.4,60.4,64.1,62.7,Middle,School,Fail
STU097,3.9,57.4,69.9,93.2,75.9,Middle,Graduate,Pass
STU098,3.9,94.2,46.2,77.0,60.2,High,Graduate,Fail
STU099,3.5,76.6,78.9,60.0,67.5,Middle,School,Fail
STU100,3.2,92.9,62.2,76.0,68.2,Middle,School,Pass
STU101,1.5,,57.2,87.6,55.3,Low,Graduate,Fail
STU102,2.9,70.8,80.7,80.9,76.9,Low,School,Pass
STU103,3.0,78.1,54.4,68.8,61.7,Low,School,Fail
STU104,2.4,78.6,43.9,58.9,54.2,Low,School,Fail
STU105,3.3,72.6,41.7,77.8,71.0,High,Graduate,Pass
STU106,4.1,85.5,74.1,73.5,52.3,Middle,School,Fail
STU107,6.1,,45.8,80.5,64.4,Middle,School,Pass
STU108,3.7,76.3,91.3,,63.9,Low,School,Fail
STU109,3.9,79.4,33.8,82.7,78.1,High,Postgraduate,Pass
STU110,3.4,84.2,90.4,60.5,70.2,Middle,Graduate,Fail
STU111,0.8,86.5,68.2,86.4,63.7,Low,Graduate,Fail
STU112,3.5,64.5,63.5,70.8,74.6,Middle,School,Pass
STU113,3.6,59.6,56.8,97.1,82.1,Middle,Graduate,Pass
STU114,6.9,93.3,71.0,58.4,71.3,Low,School,Fail
STU115,3.2,82.0,64.4,92.3,64.1,Middle,Graduate,Fail
STU116,3.9,69.0,81.5,70.8,46.9,Middle,Postgraduate,Pass
STU117,3.5,96.6,66.7,58.9,50.2,Low,Graduate,Fail
STU118,1.9,79.4,67.3,61.2,60.0,High,Postgraduate,Pass
STU119,5.1,92.2,59.5,63.5,56.1,High,Graduate,Pass
STU120,4.6,78.8,64.1,73.9,61.6,Middle,School,Pass
STU121,4.6,100.0,69.6,75.3,64.7,Middle,Postgraduate,Pass
STU122,2.2,99.1,39.3,,70.9,Middle,School,Pass
STU123,5.5,75.0,44.8,67.7,63.1,Middle,Graduate,Fail
STU124,1.5,89.7,76.1,98.0,70.3,Middle,School,Pass
STU125,4.3,85.7,67.6,92.2,64.8,Low,School,Pass
STU126,6.6,94.4,62.2,74.1,38.3,Middle,School,Fail
STU127,2.1,,65.3,68.5,51.8,High,School,Pass
STU128,2.7,86.2,70.2,69.7,62.1,Middle,Graduate,Pass
STU129,3.6,90.7,56.9,76.6,48.3,Low,Graduate,Fail
STU130,2.8,56.9,53.3,53.7,71.8,Middle,School,Fail
STU131,1.3,63.8,67.9,64.4,83.9,Low,School,Fail
STU132,3.6,53.5,50.3,44.6,79.8,Low,Graduate,Fail
STU133,2.0,74.8,71.1,73.6,61.2,Low,School,Pass
STU134,4.2,86.6,39.5,77.1,83.4,Middle,Graduate,Pass
STU135,2.2,96.0,80.4,61.2,65.9,Middle,Graduate,Pass
STU136,5.7,78.9,72.1,90.0,59.6,Middle,Graduate,Pass
STU137,2.4,97.5,68.8,50.8,56.0,Low,Graduate,Pass
STU138,3.0,61.4,79.7,47.5,60.1,High,School,Pass
STU139,4.6,57.6,90.0,71.1,59.0,High,Graduate,Fail
STU140,1.8,77.3,80.2,82.7,66.2,High,School,Pass
STU141,3.8,82.6,37.4,91.6,66.1,Low,School,Pass
STU142,5.3,77.6,45.8,61.6,64.0,Middle,Graduate,Pass
STU143,1.2,53.2,55.6,83.1,69.7,High,School,Pass
STU144,3.8,76.9,65.4,67.5,79.5,Middle,Graduate,Pass
STU145,3.9,62.3,72.8,65.6,76.3,Low,Graduate,Pass
STU146,4.6,86.0,54.1,80.4,44.7,Low,Postgraduate,Pass
STU147,1.8,82.4,67.8,77.1,30.8,Middle,Postgraduate,Fail
STU148,1.7,66.7,53.7,45.9,76.1,High,School,Fail
STU149,4.2,71.8,55.8,88.7,46.2,Middle,School,Fail
STU150,3.9,65.3,43.9,87.3,61.1,Middle,Graduate,Pass
STU151,3.9,77.2,51.2,59.2,48.8,Low,School,Fail
STU152,4.0,,44.7,73.5,40.6,Middle,Graduate,Fail
STU153,2.5,66.2,50.4,74.9,71.0,High,Graduate,Pass
STU154,3.8,84.0,80.8,71.6,73.9,Middle,Graduate,Pass
STU155,3.9,71.6,50.8,60.3,56.5,Middle,School,Fail
STU156,2.5,68.5,98.0,58.6,30.3,High,School,Pass
STU157,6.1,76.7,72.4,67.6,56.9,Low,School,Fail
